model_type,task_type,question_idx,gold_answer,baseline_stop_window,baseline_tokens_saved,stop_window_0.50,stop_window_0.85,stop_window_0.95,tokens_saved_0.50,tokens_saved_0.85,tokens_saved_0.95,is_correct_full,is_correct_baseline,is_correct_0.50,is_correct_0.85,is_correct_0.95
GPT4,gsm8k,917,50,5,1701,5,5,40,1701,1701,0,True,True,True,True,True
GPT4,gsm8k,918,28,5,1779,5,5,40,1779,1779,0,False,False,False,False,False
GPT4,gsm8k,919,60,5,1611,5,5,10,1611,1611,1380,True,True,True,True,True
GPT4,gsm8k,920,18,5,1919,5,5,5,1919,1919,1919,True,True,True,True,True
GPT4,gsm8k,921,33,5,3214,5,5,5,3214,3214,3214,True,True,True,True,True
GPT4,gsm8k,922,9,5,2260,5,5,10,2260,2260,1915,True,True,True,True,True
GPT4,gsm8k,923,160,15,2598,5,5,40,3721,3721,0,True,True,True,True,True
GPT4,gsm8k,924,2000,15,1744,5,5,5,2462,2462,2462,True,True,True,True,True
GPT4,gsm8k,925,20,5,2431,5,5,5,2431,2431,2431,True,True,True,True,True
GPT4,gsm8k,926,101,5,1585,5,5,15,1585,1585,1151,True,True,True,True,True
GPT4,gsm8k,927,400,5,1523,5,5,20,1523,1523,860,True,True,True,True,True
GPT4,gsm8k,928,210,5,4267,5,5,15,4267,4267,3038,True,True,True,True,True
GPT4,gsm8k,929,168,5,2775,5,5,5,2775,2775,2775,True,True,True,True,True
GPT4,gsm8k,930,7,5,1774,5,5,5,1774,1774,1774,True,True,True,True,True
GPT4,gsm8k,931,1000,5,1391,5,5,20,1391,1391,789,True,True,True,True,True
GPT4,gsm8k,932,80,5,2117,5,5,5,2117,2117,2117,True,True,True,True,True
GPT4,gsm8k,933,45,5,3884,5,5,5,3884,3884,3884,True,True,True,True,True
GPT4,gsm8k,934,6,5,2239,5,5,5,2239,2239,2239,True,True,True,True,True
GPT4,gsm8k,935,150,5,2452,5,5,40,2452,2452,0,True,True,True,True,True
GPT4,gsm8k,936,24,5,1471,5,5,5,1471,1471,1471,True,True,True,True,True
GPT4,gsm8k,937,319,5,2496,5,5,5,2496,2496,2496,False,False,False,False,False
GPT4,gsm8k,938,8,5,1820,5,5,5,1820,1820,1820,True,True,True,True,True
GPT4,gsm8k,939,92,5,2106,5,5,5,2106,2106,2106,True,True,True,True,True
GPT4,gsm8k,940,40,5,2270,5,5,5,2270,2270,2270,True,True,True,True,True
GPT4,gsm8k,941,40,5,2347,5,5,5,2347,2347,2347,True,True,True,True,True
GPT4,gsm8k,942,4,5,1776,5,5,5,1776,1776,1776,True,True,True,True,True
GPT4,gsm8k,943,30,5,1952,5,5,25,1952,1952,843,True,True,True,True,True
GPT4,gsm8k,944,28,5,3103,5,5,5,3103,3103,3103,True,True,True,True,True
GPT4,gsm8k,945,50,5,2356,5,5,5,2356,2356,2356,True,True,True,True,True
GPT4,gsm8k,946,56,5,3708,5,5,40,3708,3708,0,True,True,True,True,True
GPT4,gsm8k,947,120,5,1601,5,5,5,1601,1601,1601,True,True,True,True,True
GPT4,gsm8k,948,308,5,1587,5,5,40,1587,1587,0,True,True,True,True,True
GPT4,gsm8k,949,4,5,1763,5,5,5,1763,1763,1763,True,True,True,True,True
GPT4,gsm8k,950,350,5,2822,5,5,5,2822,2822,2822,True,True,True,True,True
GPT4,gsm8k,951,98,5,2859,5,5,5,2859,2859,2859,False,False,False,False,False
GPT4,gsm8k,952,15,5,1932,5,5,5,1932,1932,1932,True,True,True,True,True
GPT4,gsm8k,953,770,5,1869,5,5,5,1869,1869,1869,True,True,True,True,True
GPT4,gsm8k,954,80,5,1771,5,25,40,1771,781,0,True,True,True,True,True
GPT4,gsm8k,955,10,5,3658,5,5,5,3658,3658,3658,True,True,True,True,True
GPT4,gsm8k,956,7200,5,1975,5,5,5,1975,1975,1975,True,True,True,True,True
GPT4,gsm8k,957,4,5,3962,5,5,40,3962,3962,0,True,True,True,True,True
GPT4,gsm8k,958,12,5,1809,5,5,5,1809,1809,1809,True,True,True,True,True
GPT4,gsm8k,959,700,5,1686,5,5,5,1686,1686,1686,True,True,True,True,True
GPT4,gsm8k,960,250,5,2177,5,5,10,2177,2177,1871,True,True,True,True,True
GPT4,gsm8k,961,63,5,1400,5,5,5,1400,1400,1400,True,True,True,True,True
GPT4,gsm8k,962,70,5,2214,5,5,10,2214,2214,1904,True,True,True,True,True
GPT4,gsm8k,963,60,5,2334,5,5,5,2334,2334,2334,True,True,True,True,True
GPT4,gsm8k,964,247,5,2655,5,5,5,2655,2655,2655,True,True,True,True,True
GPT4,gsm8k,965,38,5,2154,5,5,5,2154,2154,2154,True,True,True,True,True
GPT4,gsm8k,966,22,5,2907,5,5,15,2907,2907,2151,True,True,True,True,True
GPT4,gsm8k,967,10,5,2314,5,5,5,2314,2314,2314,True,True,True,True,True
GPT4,gsm8k,968,4,40,0,5,5,5,2001,2001,2001,True,True,True,True,True
GPT4,gsm8k,969,880,5,3182,5,5,5,3182,3182,3182,True,True,True,True,True
GPT4,gsm8k,970,240,20,1706,5,5,40,3071,3071,0,True,True,True,True,True
GPT4,gsm8k,971,12,5,2100,5,5,10,2100,2100,1794,True,True,True,True,True
GPT4,gsm8k,972,6,5,1628,5,5,5,1628,1628,1628,True,True,True,True,True
GPT4,gsm8k,973,3,5,2776,5,5,5,2776,2776,2776,True,True,True,True,True
GPT4,gsm8k,974,1200,5,1576,5,5,5,1576,1576,1576,True,True,True,True,True
GPT4,gsm8k,975,70,10,3777,5,5,5,4419,4419,4419,True,True,True,True,True
GPT4,gsm8k,976,15,5,2886,5,5,15,2886,2886,2016,True,True,True,True,True
GPT4,gsm8k,977,89,5,4403,5,5,5,4403,4403,4403,False,False,False,False,False
GPT4,gsm8k,978,36,40,0,5,5,5,3024,3024,3024,False,False,True,True,True
GPT4,gsm8k,979,13,5,1403,5,5,5,1403,1403,1403,True,True,True,True,True
GPT4,gsm8k,980,490,40,0,5,5,5,1444,1444,1444,False,False,True,True,True
GPT4,gsm8k,981,35,5,1628,5,5,20,1628,1628,928,True,True,True,True,True
GPT4,gsm8k,982,90,5,2201,5,5,5,2201,2201,2201,True,True,True,True,True
GPT4,gsm8k,983,15,5,2356,5,5,20,2356,2356,1339,True,True,True,True,True
GPT4,gsm8k,984,81,10,1896,5,5,5,2211,2211,2211,False,False,False,False,False
GPT4,gsm8k,985,12,5,2504,5,5,5,2504,2504,2504,True,True,True,True,True
GPT4,gsm8k,986,50,5,1492,5,5,5,1492,1492,1492,True,True,True,True,True
GPT4,gsm8k,987,6000,5,5092,5,5,5,5092,5092,5092,True,True,True,True,True
GPT4,gsm8k,988,30,5,1570,5,5,35,1570,1570,220,True,True,True,True,True
GPT4,gsm8k,989,6,5,1670,5,5,5,1670,1670,1670,True,True,True,True,True
GPT4,gsm8k,990,10,5,2856,5,5,5,2856,2856,2856,True,True,True,True,True
GPT4,gsm8k,991,80,5,1933,5,5,10,1933,1933,1644,True,True,True,True,True
GPT4,gsm8k,992,50,15,2293,5,5,5,3151,3151,3151,False,False,False,False,False
GPT4,gsm8k,993,112,5,1688,5,10,40,1688,1439,0,True,True,True,True,True
GPT4,gsm8k,994,100,5,2641,5,5,5,2641,2641,2641,True,True,True,True,True
GPT4,gsm8k,995,10000,5,3264,5,5,5,3264,3264,3264,False,False,False,False,False
GPT4,gsm8k,996,10,5,1572,5,5,5,1572,1572,1572,True,True,True,True,True
GPT4,gsm8k,997,3,5,1889,5,5,5,1889,1889,1889,True,True,True,True,True
GPT4,gsm8k,998,2,40,0,5,5,10,1695,1695,1479,True,True,True,True,True
GPT4,gsm8k,999,300,5,1800,5,5,5,1800,1800,1800,True,True,True,True,True
GPT4,gsm8k,1000,120,5,2052,5,5,5,2052,2052,2052,True,True,True,True,True
GPT4,gsm8k,1001,73,5,2932,5,5,5,2932,2932,2932,True,True,True,True,True
GPT4,gsm8k,1002,45000,40,0,5,5,5,2191,2191,2191,True,True,True,True,True
GPT4,gsm8k,1003,6,5,2135,5,5,5,2135,2135,2135,True,True,True,True,True
GPT4,gsm8k,1004,44,5,1369,5,5,25,1369,1369,621,True,True,True,True,True
GPT4,gsm8k,1005,860,5,3069,5,5,5,3069,3069,3069,True,True,True,True,True
GPT4,gsm8k,1006,50,5,2857,5,5,10,2857,2857,2429,True,True,True,True,True
GPT4,gsm8k,1007,90,5,2036,5,5,5,2036,2036,2036,True,True,True,True,True
GPT4,gsm8k,1008,11,5,2767,5,5,30,2767,2767,747,True,True,True,True,True
GPT4,gsm8k,1009,120,5,2868,5,5,25,2868,2868,1255,True,True,True,True,True
GPT4,gsm8k,1010,23,5,3884,5,5,5,3884,3884,3884,True,True,True,True,True
GPT4,gsm8k,1011,7,5,2295,5,5,5,2295,2295,2295,True,True,True,True,True
GPT4,gsm8k,1012,6277,10,1214,5,20,40,1385,798,0,True,True,True,True,True
GPT4,gsm8k,1013,20,5,1913,5,5,5,1913,1913,1913,True,True,True,True,True
GPT4,gsm8k,1014,1218,40,0,5,5,5,1461,1461,1461,False,False,False,False,False
GPT4,gsm8k,1015,10,5,4166,5,5,20,4166,4166,2439,True,True,True,True,True
GPT4,gsm8k,1016,30,5,2236,5,5,5,2236,2236,2236,True,True,True,True,True
GPT4,gsm8k,1017,2100,5,2969,5,5,5,2969,2969,2969,True,True,True,True,True
GPT4,gsm8k,1018,175,5,2935,5,5,5,2935,2935,2935,True,True,True,True,True
GPT4,gsm8k,1019,7,5,1250,5,5,5,1250,1250,1250,True,True,True,True,True
GPT4,gsm8k,1020,26,5,1377,5,5,5,1377,1377,1377,True,True,True,True,True
GPT4,gsm8k,1021,44,5,1460,5,5,40,1460,1460,0,True,True,True,True,True
GPT4,gsm8k,1022,3140,5,2679,5,5,5,2679,2679,2679,True,True,True,True,True
GPT4,gsm8k,1023,25,5,2992,5,5,5,2992,2992,2992,True,True,True,True,True
GPT4,gsm8k,1024,6,5,1437,5,5,5,1437,1437,1437,True,True,True,True,True
GPT4,gsm8k,1025,129200,5,1639,5,5,5,1639,1639,1639,False,False,False,False,False
GPT4,gsm8k,1026,294,5,1969,5,5,5,1969,1969,1969,True,True,True,True,True
GPT4,gsm8k,1027,300,5,2895,5,5,40,2895,2895,0,True,True,True,True,True
GPT4,gsm8k,1028,120,5,2212,5,5,10,2212,2212,1898,True,True,True,True,True
GPT4,gsm8k,1029,6,5,1781,5,5,5,1781,1781,1781,True,True,True,True,True
GPT4,gsm8k,1030,105,5,3047,5,5,10,3047,3047,2603,True,True,True,True,True
GPT4,gsm8k,1031,4,5,3431,5,5,5,3431,3431,3431,True,True,True,True,True
GPT4,gsm8k,1032,1509,5,2231,5,5,5,2231,2231,2231,True,True,True,True,True
GPT4,gsm8k,1033,3430,40,0,5,5,5,2701,2701,2701,False,False,False,False,False
GPT4,gsm8k,1034,32,5,1837,5,5,40,1837,1837,0,True,True,True,True,True
GPT4,gsm8k,1035,62,5,1265,5,10,40,1265,1068,0,True,True,True,True,True
GPT4,gsm8k,1036,650,5,1930,5,5,40,1930,1930,0,True,True,True,True,True
GPT4,gsm8k,1037,7,10,1820,5,5,5,2145,2145,2145,True,True,True,True,True
GPT4,gsm8k,1038,145,5,5198,5,5,5,5198,5198,5198,True,True,True,True,True
GPT4,gsm8k,1039,1920,5,3423,5,5,40,3423,3423,0,True,True,True,True,True
GPT4,gsm8k,1040,35,5,1563,5,5,5,1563,1563,1563,True,True,True,True,True
GPT4,gsm8k,1041,336,5,1882,5,5,5,1882,1882,1882,True,True,True,True,True
GPT4,gsm8k,1042,68,5,2414,5,5,10,2414,2414,2114,True,True,True,True,True
GPT4,gsm8k,1043,142,5,2786,5,5,5,2786,2786,2786,True,True,True,True,True
GPT4,gsm8k,1044,70,5,1320,5,5,5,1320,1320,1320,True,True,True,True,True
GPT4,gsm8k,1045,20,10,2171,5,5,40,2554,2554,0,True,True,True,True,True
GPT4,gsm8k,1046,14,5,3032,5,5,5,3032,3032,3032,True,True,True,True,True
GPT4,gsm8k,1047,50,5,2803,5,5,10,2803,2803,2425,True,True,True,True,True
GPT4,gsm8k,1048,342,5,2873,5,5,5,2873,2873,2873,True,True,True,True,True
GPT4,gsm8k,1049,5,20,1065,5,5,5,1880,1880,1880,False,False,True,True,True
GPT4,gsm8k,1050,260,5,1919,5,5,5,1919,1919,1919,True,True,True,True,True
GPT4,gsm8k,1051,20,5,1954,5,5,25,1954,1954,861,True,True,True,True,True
GPT4,gsm8k,1052,77,5,1779,5,5,5,1779,1779,1779,True,True,True,True,True
GPT4,gsm8k,1053,576,5,1632,5,5,5,1632,1632,1632,True,True,True,True,True
GPT4,gsm8k,1054,105,5,1884,5,5,10,1884,1884,1610,True,True,True,True,True
GPT4,gsm8k,1055,8,10,3194,5,5,5,3694,3694,3694,True,True,False,False,False
GPT4,gsm8k,1056,27,5,3336,5,5,10,3336,3336,2903,True,True,True,True,True
GPT4,gsm8k,1057,15,5,1382,5,5,10,1382,1382,1187,True,True,True,True,True
GPT4,gsm8k,1058,74,5,1645,5,5,5,1645,1645,1645,True,True,True,True,True
GPT4,gsm8k,1059,125,5,2152,5,5,5,2152,2152,2152,True,True,True,True,True
GPT4,gsm8k,1060,72,5,3295,5,5,5,3295,3295,3295,True,True,True,True,True
GPT4,gsm8k,1061,29,5,3261,5,5,15,3261,3261,2329,False,False,False,False,False
GPT4,gsm8k,1062,1000,5,2142,5,5,5,2142,2142,2142,True,True,True,True,True
GPT4,gsm8k,1063,398,5,1578,5,5,5,1578,1578,1578,True,True,True,True,True
GPT4,gsm8k,1064,60,5,1836,5,5,5,1836,1836,1836,True,True,True,True,True
GPT4,gsm8k,1065,12,5,3138,5,5,5,3138,3138,3138,True,True,True,True,True
GPT4,gsm8k,1066,50,5,2356,5,5,5,2356,2356,2356,True,True,True,True,True
GPT4,gsm8k,1067,694,5,2059,5,5,40,2059,2059,0,True,True,True,True,True
GPT4,gsm8k,1068,7,5,1236,5,5,5,1236,1236,1236,True,True,True,True,True
GPT4,gsm8k,1069,84,5,2159,5,5,5,2159,2159,2159,True,True,True,True,True
GPT4,gsm8k,1070,1800,5,1623,5,5,5,1623,1623,1623,True,True,True,True,True
GPT4,gsm8k,1071,350,5,1629,5,5,5,1629,1629,1629,True,True,True,True,True
GPT4,gsm8k,1072,3,5,1134,5,5,5,1134,1134,1134,True,True,True,True,True
GPT4,gsm8k,1073,8,5,2208,5,5,5,2208,2208,2208,True,True,True,True,True
GPT4,gsm8k,1074,4,5,2337,5,5,5,2337,2337,2337,True,True,True,True,True
GPT4,gsm8k,1075,2,10,2697,5,5,5,3126,3126,3126,True,True,True,True,True
GPT4,gsm8k,1076,2,5,3691,5,5,10,3691,3691,3098,True,True,True,True,True
GPT4,gsm8k,1077,160,5,2142,5,5,5,2142,2142,2142,False,False,False,False,False
GPT4,gsm8k,1078,40,5,1657,5,5,40,1657,1657,0,True,True,True,True,True
GPT4,gsm8k,1079,7,5,3611,5,5,5,3611,3611,3611,True,True,True,True,True
GPT4,gsm8k,1080,2800,5,2031,5,5,40,2031,2031,0,False,False,False,False,False
GPT4,gsm8k,1081,6,5,3273,5,5,5,3273,3273,3273,True,True,True,True,True
GPT4,gsm8k,1082,8,5,1982,5,5,5,1982,1982,1982,True,True,True,True,True
GPT4,gsm8k,1083,25000,10,2252,5,5,40,2635,2635,0,False,False,False,False,False
GPT4,gsm8k,1084,2,40,0,5,5,5,2579,2579,2579,True,True,True,True,True
GPT4,gsm8k,1085,2,40,0,5,5,5,4679,4679,4679,False,False,False,False,False
GPT4,gsm8k,1086,45,5,2517,5,5,5,2517,2517,2517,True,True,True,True,True
GPT4,gsm8k,1087,20,5,2761,5,5,5,2761,2761,2761,False,False,False,False,False
GPT4,gsm8k,1088,34,5,1695,5,5,10,1695,1695,1454,True,True,True,True,True
GPT4,gsm8k,1089,2000,5,2676,5,5,5,2676,2676,2676,False,False,False,False,False
GPT4,gsm8k,1090,140,5,1369,5,5,20,1369,1369,738,True,True,True,True,True
GPT4,gsm8k,1091,45,5,3381,5,5,40,3381,3381,0,False,False,False,False,False
GPT4,gsm8k,1092,12,30,640,5,5,5,2237,2237,2237,False,False,False,False,False
GPT4,gsm8k,1093,16,5,1739,5,5,5,1739,1739,1739,True,True,True,True,True
GPT4,gsm8k,1094,58,5,2777,5,5,40,2777,2777,0,True,True,True,True,True
GPT4,gsm8k,1095,360,5,2952,5,5,5,2952,2952,2952,True,True,True,True,True
GPT4,gsm8k,1096,16,5,2842,5,5,5,2842,2842,2842,True,True,True,True,True
GPT4,gsm8k,1097,11,15,3602,5,5,25,5070,5070,2287,False,False,False,False,False
GPT4,gsm8k,1098,14,5,2680,5,5,5,2680,2680,2680,False,False,False,False,False
GPT4,gsm8k,1099,24,5,1401,5,5,5,1401,1401,1401,True,True,True,True,True
GPT4,gsm8k,1100,14,5,3393,5,5,5,3393,3393,3393,True,True,True,True,True
GPT4,gsm8k,1101,175,5,1871,5,5,10,1871,1871,1609,True,True,True,True,True
GPT4,gsm8k,1102,250,5,2472,5,5,5,2472,2472,2472,True,True,True,True,True
GPT4,gsm8k,1103,24,5,2230,5,5,5,2230,2230,2230,True,True,True,True,True
GPT4,gsm8k,1104,10,5,1197,5,5,5,1197,1197,1197,True,True,True,True,True
GPT4,gsm8k,1105,36,5,2986,5,5,5,2986,2986,2986,True,True,True,True,True
GPT4,gsm8k,1106,34,35,478,5,5,5,3410,3410,3410,False,False,False,False,False
GPT4,gsm8k,1107,8,5,1761,5,5,40,1761,1761,0,True,True,True,True,True
GPT4,gsm8k,1108,42,5,2021,5,5,5,2021,2021,2021,True,True,True,True,True
GPT4,gsm8k,1109,2,5,4198,5,5,5,4198,4198,4198,True,True,True,True,True
GPT4,gsm8k,1110,3,5,1503,5,5,5,1503,1503,1503,True,True,True,True,True
GPT4,gsm8k,1111,138,5,2685,5,5,5,2685,2685,2685,False,False,False,False,False
GPT4,gsm8k,1112,5,5,2048,5,5,40,2048,2048,0,True,True,True,True,True
GPT4,gsm8k,1113,5600,5,3547,5,5,5,3547,3547,3547,True,True,True,True,True
GPT4,gsm8k,1114,48,5,3585,5,5,5,3585,3585,3585,True,True,True,True,True
GPT4,gsm8k,1115,240000,5,1199,5,5,15,1199,1199,874,True,True,True,True,True
GPT4,gsm8k,1116,68,5,2104,5,5,5,2104,2104,2104,True,True,True,True,True
GPT4,gsm8k,1117,65960,10,1225,5,5,5,1427,1427,1427,False,False,True,True,True
GPT4,gsm8k,1118,32,5,3635,5,5,5,3635,3635,3635,True,True,True,True,True
GPT4,gsm8k,1119,120,5,1622,5,5,5,1622,1622,1622,True,True,True,True,True
GPT4,gsm8k,1120,4,5,2060,5,5,10,2060,2060,1790,True,True,True,True,True
GPT4,gsm8k,1121,348,5,2786,5,5,5,2786,2786,2786,True,True,True,True,True
GPT4,gsm8k,1122,14,5,1707,5,5,5,1707,1707,1707,True,True,True,True,True
GPT4,gsm8k,1123,156,5,2639,5,5,5,2639,2639,2639,True,True,True,True,True
GPT4,gsm8k,1124,48,5,2354,5,5,10,2354,2354,2031,True,True,True,True,True
GPT4,gsm8k,1125,1,40,0,5,5,40,5403,5403,0,True,True,True,True,True
GPT4,gsm8k,1126,25,5,2634,5,5,5,2634,2634,2634,True,True,True,True,True
GPT4,gsm8k,1127,10,5,2841,5,5,5,2841,2841,2841,True,True,True,True,True
GPT4,gsm8k,1128,20,5,2411,5,5,35,2411,2411,358,True,True,True,True,True
GPT4,gsm8k,1129,31,5,3090,5,5,5,3090,3090,3090,True,True,True,True,True
GPT4,gsm8k,1130,230,5,1693,5,5,5,1693,1693,1693,True,True,True,True,True
GPT4,gsm8k,1131,2,25,1074,5,5,40,2228,2228,0,False,False,False,False,False
GPT4,gsm8k,1132,220,5,2016,5,5,5,2016,2016,2016,True,True,True,True,True
GPT4,gsm8k,1133,14,5,1382,5,5,5,1382,1382,1382,True,True,True,True,True
GPT4,gsm8k,1134,570,5,1979,5,5,5,1979,1979,1979,True,True,True,True,True
GPT4,gsm8k,1135,100,5,1714,5,5,10,1714,1714,1477,True,True,True,True,True
GPT4,gsm8k,1136,20,5,2344,5,5,40,2344,2344,0,True,True,True,True,True
GPT4,gsm8k,1137,27,10,1581,5,5,5,1847,1847,1847,True,True,True,True,True
GPT4,gsm8k,1138,15,5,1828,5,5,15,1828,1828,1325,True,True,True,True,True
GPT4,gsm8k,1139,36,5,1200,5,5,5,1200,1200,1200,True,True,True,True,True
GPT4,gsm8k,1140,21,5,1903,5,5,5,1903,1903,1903,True,True,True,True,True
GPT4,gsm8k,1141,7,40,0,5,5,10,2285,2285,1946,False,False,False,False,False
GPT4,gsm8k,1142,133,5,1160,5,5,5,1160,1160,1160,True,True,True,True,True
GPT4,gsm8k,1143,25,10,1953,5,5,5,2252,2252,2252,True,True,True,True,True
GPT4,gsm8k,1144,90,5,2696,5,5,5,2696,2696,2696,True,True,True,True,True
GPT4,gsm8k,1145,6,5,2542,5,5,5,2542,2542,2542,True,True,True,True,True
GPT4,gsm8k,1146,34,10,2294,5,5,10,2699,2699,2294,True,True,True,True,True
GPT4,gsm8k,1147,70,5,2058,5,5,5,2058,2058,2058,True,True,True,True,True
GPT4,gsm8k,1148,27,5,1497,5,5,5,1497,1497,1497,True,True,True,True,True
GPT4,gsm8k,1149,30,5,1927,5,5,5,1927,1927,1927,True,True,True,True,True
GPT4,gsm8k,1150,5,5,1921,5,5,5,1921,1921,1921,True,True,True,True,True
GPT4,gsm8k,1151,665,5,1294,5,5,10,1294,1294,1099,True,True,True,True,True
GPT4,gsm8k,1152,50,5,3372,5,5,5,3372,3372,3372,True,True,True,True,True
GPT4,gsm8k,1153,2050,5,3476,5,5,15,3476,3476,2486,True,True,True,True,True
GPT4,gsm8k,1154,3,5,1267,5,5,5,1267,1267,1267,True,True,True,True,True
GPT4,gsm8k,1155,29,5,2971,5,5,5,2971,2971,2971,True,True,True,True,True
GPT4,gsm8k,1156,2,5,3466,5,5,10,3466,3466,2991,True,True,True,True,True
GPT4,gsm8k,1157,60,5,2181,5,5,5,2181,2181,2181,True,True,True,True,True
GPT4,gsm8k,1158,50,40,0,5,5,40,1717,1717,0,True,True,True,True,True
GPT4,gsm8k,1159,250,5,2027,5,5,5,2027,2027,2027,True,True,True,True,True
GPT4,gsm8k,1160,6,10,3150,5,5,5,3679,3679,3679,True,True,True,True,True
GPT4,gsm8k,1161,34,5,2291,5,5,5,2291,2291,2291,True,True,True,True,True
GPT4,gsm8k,1162,5,5,1516,5,5,5,1516,1516,1516,True,True,True,True,True
GPT4,gsm8k,1163,100,5,1486,5,5,5,1486,1486,1486,True,True,True,True,True
GPT4,gsm8k,1164,96,5,2557,5,5,5,2557,2557,2557,True,True,True,True,True
GPT4,gsm8k,1165,4,5,2480,5,5,15,2480,2480,1680,True,True,True,True,True
GPT4,gsm8k,1166,29,5,4317,5,5,10,4317,4317,3674,True,True,True,True,True
GPT4,gsm8k,1167,5,5,2061,5,5,5,2061,2061,2061,True,True,True,True,True
GPT4,gsm8k,1168,18000,40,0,5,5,5,2336,2336,2336,True,True,True,True,True
GPT4,gsm8k,1169,2,40,0,5,5,10,2197,2197,1952,True,True,False,False,False
GPT4,gsm8k,1170,12,5,1774,5,5,10,1774,1774,1527,True,True,True,True,True
GPT4,gsm8k,1171,50,5,2329,5,5,5,2329,2329,2329,True,True,True,True,True
GPT4,gsm8k,1172,91,5,2783,5,5,5,2783,2783,2783,True,True,True,True,True
GPT4,gsm8k,1173,3,5,2174,5,5,5,2174,2174,2174,True,True,True,True,True
GPT4,gsm8k,1174,100,5,1492,5,5,5,1492,1492,1492,True,True,True,True,True
GPT4,gsm8k,1175,163,15,1292,5,5,15,1809,1809,1292,True,True,True,True,True
GPT4,gsm8k,1176,9,5,2501,5,5,10,2501,2501,2164,True,True,True,True,True
GPT4,gsm8k,1177,28,5,2079,5,5,5,2079,2079,2079,True,True,True,True,True
GPT4,gsm8k,1178,63,5,2240,5,5,10,2240,2240,1917,True,True,True,True,True
GPT4,gsm8k,1179,19,5,3610,5,5,5,3610,3610,3610,True,True,True,True,True
GPT4,gsm8k,1180,30,20,2182,5,5,40,3780,3780,0,True,True,True,True,True
GPT4,gsm8k,1181,66,5,3748,5,5,5,3748,3748,3748,True,True,True,True,True
GPT4,gsm8k,1182,200,5,2279,5,5,5,2279,2279,2279,True,True,True,True,True
GPT4,gsm8k,1183,101,5,2481,5,5,40,2481,2481,0,True,True,True,True,True
GPT4,gsm8k,1184,600,20,943,5,5,20,1685,1685,943,True,True,True,True,True
GPT4,gsm8k,1185,2400,5,2679,5,5,5,2679,2679,2679,True,True,True,True,True
GPT4,gsm8k,1186,2450,5,4484,5,5,15,4484,4484,3164,True,True,True,True,True
GPT4,gsm8k,1187,25,5,2249,5,5,15,2249,2249,1654,True,True,True,True,True
GPT4,gsm8k,1188,20,40,0,5,5,10,3672,3672,3097,True,True,True,True,True
GPT4,gsm8k,1189,27,5,2552,5,5,5,2552,2552,2552,True,True,True,True,True
GPT4,gsm8k,1190,36,5,1350,5,5,5,1350,1350,1350,True,True,True,True,True
GPT4,gsm8k,1191,320,5,1855,5,5,5,1855,1855,1855,True,True,True,True,True
GPT4,gsm8k,1192,224000,20,2286,5,5,5,4098,4098,4098,True,True,True,True,True
GPT4,gsm8k,1193,11,5,1789,5,5,10,1789,1789,1553,True,True,True,True,True
GPT4,gsm8k,1194,36,5,4090,5,5,15,4090,4090,2923,True,True,True,True,True
GPT4,gsm8k,1195,25,5,2489,5,5,10,2489,2489,2156,True,True,True,True,True
GPT4,gsm8k,1196,3,10,1846,5,5,5,2167,2167,2167,True,True,True,True,True
GPT4,gsm8k,1197,1800,40,0,5,5,15,2625,2625,1847,True,True,True,True,True
GPT4,gsm8k,1198,19,40,0,5,5,10,6110,6110,5223,True,True,True,True,True
GPT4,gsm8k,1199,452,5,2663,5,5,5,2663,2663,2663,True,True,True,True,True
GPT4,gsm8k,1200,9,5,1320,5,5,20,1320,1320,756,True,True,True,True,True
GPT4,gsm8k,1201,240,5,2995,5,5,5,2995,2995,2995,True,True,True,True,True
GPT4,gsm8k,1202,95,5,2754,5,5,40,2754,2754,0,True,True,True,True,True
GPT4,gsm8k,1203,28,5,3932,5,5,5,3932,3932,3932,True,True,True,True,True
GPT4,gsm8k,1204,15,5,2417,5,5,5,2417,2417,2417,True,True,True,True,True
GPT4,gsm8k,1205,250,5,3203,5,5,5,3203,3203,3203,True,True,True,True,True
GPT4,gsm8k,1206,9,5,1768,5,5,5,1768,1768,1768,True,True,True,True,True
GPT4,gsm8k,1207,64,25,1050,5,5,10,2399,2399,2045,True,True,True,True,True
GPT4,gsm8k,1208,26,5,1216,5,5,40,1216,1216,0,True,True,True,True,True
GPT4,gsm8k,1209,2,5,2044,5,5,5,2044,2044,2044,True,True,True,True,True
GPT4,gsm8k,1210,60,5,3067,5,5,5,3067,3067,3067,True,True,True,True,True
GPT4,gsm8k,1211,410,5,2407,5,5,10,2407,2407,2058,True,True,True,True,True
GPT4,gsm8k,1212,600,5,1413,5,5,5,1413,1413,1413,True,True,True,True,True
GPT4,gsm8k,1213,250,5,2766,5,5,40,2766,2766,0,True,True,True,True,True
GPT4,gsm8k,1214,262500,40,0,5,5,5,2485,2485,2485,True,True,True,True,True
GPT4,gsm8k,1215,284,15,2414,5,5,40,3298,3298,0,True,True,True,True,True
GPT4,gsm8k,1216,2,5,2915,5,5,5,2915,2915,2915,True,True,True,True,True
GPT4,gsm8k,1217,1490,5,2779,5,5,5,2779,2779,2779,True,True,True,True,True
GPT4,gsm8k,1218,1,5,1856,5,5,5,1856,1856,1856,True,True,True,True,True
GPT4,gsm8k,1219,20,5,3300,5,5,15,3300,3300,2334,True,True,True,True,True
